ID,categoryName,description,active,createdAt,createdBy,modifiedAt,modifiedBy
11111111-1111-1111-1111-111111111111,VEHICLES,Vehicles and automotive products,true,2024-01-05T09:00:00Z,onboarding.srv@tafe.com,2024-02-05T09:00:00Z,onboarding.srv@tafe.com
22222222-2222-2222-2222-222222222222,ELECTRONICS,Electronic devices and accessories,true,2024-01-06T09:00:00Z,onboarding.srv@tafe.com,2024-02-06T09:00:00Z,onboarding.srv@tafe.com
33333333-3333-3333-3333-333333333333,GROCERIES,Food and grocery products,true,2024-01-07T09:00:00Z,onboarding.srv@tafe.com,2024-02-07T09:00:00Z,onboarding.srv@tafe.com
44444444-4444-4444-4444-444444444444,ORNAMENTS,Gold silver and decorative ornaments,true,2024-01-08T09:00:00Z,onboarding.srv@tafe.com,2024-02-08T09:00:00Z,onboarding.srv@tafe.com
55555555-5555-5555-5555-555555555555,CLOTHING,Clothing and fashion products,true,2024-01-09T09:00:00Z,onboarding.srv@tafe.com,2024-02-09T09:00:00Z,onboarding.srv@tafe.com
66666666-6666-6666-6666-666666666666,FURNITURE,Furniture and home products,true,2024-01-10T09:00:00Z,onboarding.srv@tafe.com,2024-02-10T09:00:00Z,onboarding.srv@tafe.com
77777777-7777-7777-7777-777777777777,APPLIANCES,Home electrical appliances,true,2024-01-11T09:00:00Z,onboarding.srv@tafe.com,2024-02-11T09:00:00Z,onboarding.srv@tafe.com
88888888-8888-8888-8888-888888888888,SPORTS,Sports and fitness products,true,2024-01-12T09:00:00Z,onboarding.srv@tafe.com,2024-02-12T09:00:00Z,onboarding.srv@tafe.com
99999999-9999-9999-9999-999999999999,BEAUTY,Beauty and personal care products,true,2024-01-13T09:00:00Z,onboarding.srv@tafe.com,2024-02-13T09:00:00Z,onboarding.srv@tafe.com
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,STATIONERY,Stationery and office products,true,2024-01-14T09:00:00Z,onboarding.srv@tafe.com,2024-02-14T09:00:00Z,onboarding.srv@tafe.com
