ID,analyticsMonth,analyticsYear,totalPOCount,totalPurchaseValue,totalQuantity,totalDiscountAmount,totalTaxAmount,averagePOValue,salesGrowthPercentage
ma111111-1111-1111-1111-111111111111,1,2026,30,5200000.00,100,380000.00,936000.00,173333.33,4.50
ma222222-2222-2222-2222-222222222222,2,2026,34,5850000.00,115,420000.00,1053000.00,172058.82,12.50
ma333333-3333-3333-3333-333333333333,3,2026,38,6420000.00,125,465000.00,1155600.00,168947.37,9.74
ma444444-4444-4444-4444-444444444444,4,2026,32,5480000.00,108,395000.00,986400.00,171250.00,-14.64
ma555555-5555-5555-5555-555555555555,5,2026,41,7150000.00,135,510000.00,1287000.00,174390.24,30.47
ma666666-6666-6666-6666-666666666666,6,2026,39,6820000.00,128,480000.00,1227600.00,174871.79,-4.69
ma777777-7777-7777-7777-777777777777,7,2026,45,7850000.00,145,560000.00,1413000.00,174444.44,15.10
ma888888-8888-8888-8888-888888888888,8,2026,37,6240000.00,120,450000.00,1123200.00,168648.65,-20.51
ma999999-9999-9999-9999-999999999999,9,2026,48,8420000.00,152,620000.00,1515600.00,175416.67,34.94
maa00000-0000-0000-0000-000000000000,10,2026,52,9250000.00,165,680000.00,1665000.00,177884.62,9.86
mab11111-1111-1111-1111-111111111111,11,2026,44,7680000.00,140,570000.00,1382400.00,174545.45,-16.97
mac22222-2222-2222-2222-222222222222,12,2026,55,9850000.00,180,750000.00,1773000.00,179090.91,28.26
