ID,runOn,expiredCount,details,triggeredBy
PEL001,2026-01-01T00:05:00Z,12,Expired 12 pricing records for previous financial year,JOB_SCHEDULER
PEL002,2026-02-01T00:05:00Z,5,Expired regional promotional prices,JOB_SCHEDULER
PEL003,2026-03-01T00:05:00Z,8,Expired February promotional pricing,JOB_SCHEDULER
PEL004,2026-04-01T00:05:00Z,3,Expired Q1 pricing agreements,JOB_SCHEDULER
PEL005,2026-05-01T00:05:00Z,6,Expired April promotional prices,JOB_SCHEDULER
PEL006,2026-06-01T00:05:00Z,4,Expired seasonal pricing records,JOB_SCHEDULER
PEL007,2026-07-01T00:05:00Z,7,Expired June regional pricing,JOB_SCHEDULER
PEL008,2026-08-01T00:05:00Z,5,Expired July promotional pricing,JOB_SCHEDULER
PEL009,2026-08-15T00:05:00Z,2,Expired short-term customer pricing,JOB_SCHEDULER
PEL010,2026-08-28T00:05:00Z,4,Expired temporary regional discounts,JOB_SCHEDULER
