ID,priceMaster_ID,oldFinalPrice,newFinalPrice,changeReason,changedOn,changedBy
PH001,PM001,950000.00,973500.00,Annual price revision,2026-01-02T10:15:00Z,pricing.admin
PH002,PM002,1320000.00,1274400.00,Regional discount update,2026-01-05T09:30:00Z,pricing.manager
PH003,PM003,2180000.00,2094500.00,Dealer promotion,2026-02-02T11:45:00Z,sales.manager
PH004,PM004,4950000.00,4838000.00,Customer volume discount,2026-02-10T14:20:00Z,pricing.admin
PH005,PM005,3480000.00,3363000.00,Quarterly pricing review,2026-03-03T08:50:00Z,pricing.manager
PH006,PM006,2510000.00,2436700.00,European market adjustment,2026-01-03T13:10:00Z,regional.manager
PH007,PM007,170000.00,165200.00,Competitive price adjustment,2026-01-08T10:05:00Z,pricing.admin
PH008,PM008,340000.00,324500.00,APAC promotional pricing,2026-04-02T12:35:00Z,sales.manager
PH009,PM009,445000.00,424800.00,North America discount update,2026-02-03T15:00:00Z,pricing.manager
PH010,PM010,270000.00,256650.00,South America market adjustment,2026-01-04T09:45:00Z,regional.manager
