ID,product_ID,analyticsMonth,analyticsYear,totalQuantity,totalPOCount,totalSalesValue,averageUnitPrice,createdAt,createdBy,modifiedAt,modifiedBy
b2000001-0001-4000-8000-000000000001,63e52d3f-d0dd-46bb-bfca-d2cd297b6f31,9,2026,32,12,23200000.00,725000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0002-4000-8000-000000000002,05c899ea-fd39-4cb4-bf0d-c6d95480c1bc,9,2026,28,10,18200000.00,650000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0003-4000-8000-000000000003,ffb5b8bd-90c4-4429-b70e-0ae6238eca9a,9,2026,25,9,17000000.00,680000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0004-4000-8000-000000000004,e4bc5e3e-4e25-459d-b028-82f369b11178,9,2026,21,8,18270000.00,870000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0005-4000-8000-000000000005,0724dbee-d98f-4700-9ea0-9f256ccc446f,9,2026,19,7,17955000.00,945000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0006-4000-8000-000000000006,0c4444c2-24b6-4079-9cb2-b24f61f3f98e,9,2026,24,9,23520000.00,980000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0007-4000-8000-000000000007,93d7948a-b30e-4077-b374-287bcd6e998e,9,2026,145,15,1812500.00,12500.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0008-4000-8000-000000000008,c5ced698-26c0-4b6b-b504-2eb913a95377,9,2026,180,18,1116000.00,6200.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0009-4000-8000-000000000009,479451c3-c501-48d4-9ef9-ebf977ad93d4,9,2026,420,22,273000.00,650.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0010-4000-8000-000000000010,ef627b6f-54a0-4fb9-a16d-126452ff2807,9,2026,165,16,396000.00,2400.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0011-4000-8000-000000000011,2bbff2f8-b41d-4cb4-a928-94f417067709,9,2026,18,7,2124000.00,118000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
b2000001-0012-4000-8000-000000000012,977bb488-ef3f-4d9b-964f-15a98522c3a0,9,2026,15,6,2175000.00,145000.00,2026-09-01T10:00:00Z,analytics.srv@tafe.com,2026-09-30T10:00:00Z,analytics.srv@tafe.com
