ID,analyticsMonth,analyticsYear,totalPOCount,approvedPOCount,rejectedPOCount,deliveredPOCount,totalPurchaseValue,totalTaxAmount,averagePOValue
poan1111-1111-1111-1111-111111111111,1,2026,30,20,3,7,5200000.00,936000.00,173333.33
poan2222-2222-2222-2222-222222222222,2,2026,34,23,3,8,5850000.00,1053000.00,172058.82
poan3333-3333-3333-3333-333333333333,3,2026,38,26,4,8,6420000.00,1155600.00,168947.37
poan4444-4444-4444-4444-444444444444,4,2026,32,21,3,8,5480000.00,986400.00,171250.00
poan5555-5555-5555-5555-555555555555,5,2026,41,28,4,9,7150000.00,1287000.00,174390.24
poan6666-6666-6666-6666-666666666666,6,2026,39,27,3,9,6820000.00,1227600.00,174871.79
poan7777-7777-7777-7777-777777777777,7,2026,45,31,4,10,7850000.00,1413000.00,174444.44
poan8888-8888-8888-8888-888888888888,8,2026,37,25,3,9,6240000.00,1123200.00,168648.65
poan9999-9999-9999-9999-999999999999,9,2026,48,34,4,10,8420000.00,1515600.00,175416.67
poaa0000-0000-0000-0000-000000000000,10,2026,52,37,5,10,9250000.00,1665000.00,177884.62
poab1111-1111-1111-1111-111111111111,11,2026,44,30,4,10,7680000.00,1382400.00,174545.45
poac2222-2222-2222-2222-222222222222,12,2026,55,40,5,10,9850000.00,1773000.00,179090.91
